,price,total_square,rooms,floor,distance_to_center
44919,12500000,51,2,1,22.098766731864067
44920,7000000,38,1,16,19.154259721737443
44921,4700000,17,1,2,18.287459859382626
44922,17000000,63,2,12,13.329065604004048
44923,16500000,46,2,5,8.449376188195037
44924,39037400,95,3,5,6.6452718863756965
44925,20590000,84,3,10,21.888528138434932
44926,15600000,60,3,8,15.166268299828225
44927,12500000,60,2,17,30.341003565347236
44928,20000000,62,3,12,4.515263034759729
44929,29083060,46,1,17,9.81798994068106
44930,30790000,80,2,3,10.75135117364846
44931,12800000,50,2,2,6.264824559609662
44932,24000000,73,3,13,11.898058558255165
44933,16900000,56,2,23,11.71446874287403
44934,6594858,40,2,10,30.75717172906172
44935,9000000,52,1,7,20.966427236001103
44936,21150000,74,3,3,15.181835816780369
44937,10704826,33,1,3,11.220596462423142
44938,29700000,67,3,11,6.507055530410033
44939,6150000,42,2,2,31.618633405113933
44940,19900000,80,3,3,8.761464433137952
44941,5950000,35,1,17,25.21572971166104
44942,41000000,96,3,16,13.204094568976188
44943,10800000,38,1,10,13.68001585256386
44944,30600000,57,2,6,2.31545395667379
44945,45000000,82,2,8,3.4518469366130877
44946,7579778,24,1,9,21.16961631838018
44947,9500000,36,1,5,17.477549440036853
44948,16250000,53,2,2,3.4634913461046257
44949,16200000,67,3,4,12.743069180084072
44950,80000000,120,3,16,7.919987724897881
44951,163267920,227,3,12,0.8340964660811668
44952,16900000,36,1,5,5.845168511449275
44953,16000000,65,3,2,14.166151677343471
44954,86000000,87,3,2,1.297256668877235
44955,15000000,55,2,15,23.9554478279227
44956,17000000,65,3,25,18.17017137547321
44957,9500000,32,1,7,12.417629883764926
44958,47239708,81,3,6,9.298119269474501
44959,5300000,31,1,3,18.409026207425658
44960,7300000,43,1,5,19.43038978386555
44961,22131060,81,3,15,15.25542703370679
44962,23900000,62,2,13,4.442085562152407
44963,13072435,53,2,33,13.080030440969173
44964,14800000,51,2,2,14.519877858786737
44965,38999999,104,3,3,9.945374070611523
44966,23500000,55,2,6,6.235604144905148
44967,72442580,120,2,3,1.3542803234258813
44968,12100000,37,1,5,16.08394421481208
44969,12000000,89,3,19,27.488331901437032
44970,9300000,30,1,2,13.175206742670177
44971,97261000,102,3,41,4.126581740421121
44972,6100000,29,1,5,24.32008960093545
44973,7095960,34,1,21,19.48555150170208
44974,13635890,37,1,20,11.197129466403307
44975,41000000,117,3,6,9.498591857483175
44976,15000000,40,3,1,4.547134237414931
44977,9850000,31,1,3,8.778564240190933
44978,15800000,50,2,2,15.145125088798322
44979,7500000,22,1,22,17.069942559464675
44980,29290000,59,2,17,7.585774055276078
44981,28500000,88,3,12,10.891109189324823
44982,12000000,68,2,23,19.104921693214884
44983,3700000,24,1,1,29.85302363207595
44984,13500000,39,1,15,9.431184464679433
44985,48000000,95,3,3,2.959329401067627
44986,20000000,101,4,8,22.691294914305328
44987,12287004,36,1,9,13.985208896863698
